Quality,Country,Year,Cases
Standard,Finland,2011,22100
Standard,Finland,2012,21250
Standard,Finland,2013,21000
Standard,Finland,2014,19750
Standard,Finland,2015,22900
Standard,Finland,2016,22000
Standard,Austria,1990,1250
Standard,Austria,1991,1250
Standard,Austria,1992,1250
Standard,Austria,1993,1000
Standard,Austria,1994,3000
Standard,Austria,1995,3250
Standard,Austria,1996,3500
Standard,Austria,1997,4500
Standard,Austria,1998,4750
Standard,Austria,1999,4800
Standard,Austria,2000,5000
Standard,Austria,2001,6250
Standard,Austria,2002,6550
Standard,Austria,2003,7570
Standard,Austria,2004,7920
Standard,Austria,2005,8100
Standard,Austria,2006,9200
Standard,Austria,2007,11600
Standard,Austria,2008,12920
Standard,Austria,2009,12850
Standard,Austria,2010,13500
Standard,Austria,2011,13750
Standard,Austria,2012,16650
Standard,Austria,2013,16500
Standard,Austria,2014,17350
Standard,Austria,2015,19000
Standard,Austria,2016,21200
Standard,Estonia,1990,0
Standard,Estonia,1991,0
Standard,Estonia,1992,250
Standard,Estonia,1993,500
Standard,Estonia,1994,1250
Standard,Estonia,1995,2250
Standard,Estonia,1996,2600
Standard,Estonia,1997,2900
Standard,Estonia,1998,4700
Standard,Estonia,1999,3500
Standard,Estonia,2000,4450
Standard,Estonia,2001,4560
Standard,Estonia,2002,4270
Standard,Estonia,2003,3840
Standard,Estonia,2004,5980
Standard,Estonia,2005,6490
Standard,Estonia,2006,7760
Standard,Estonia,2007,9350
Standard,Estonia,2008,9300
Standard,Estonia,2009,8200
Standard,Estonia,2010,8400
Standard,Estonia,2011,11600
Standard,Estonia,2012,13990
Standard,Estonia,2013,19550
Standard,Estonia,2014,21430
Standard,Estonia,2015,23050
Standard,Estonia,2016,20950
Standard,Belgium and Luxembourg,1990,5000
Standard,Belgium and Luxembourg,1991,5000
Standard,Belgium and Luxembourg,1992,6000
Standard,Belgium and Luxembourg,1993,6000
Standard,Belgium and Luxembourg,1994,6000
Standard,Belgium and Luxembourg,1995,7500
Standard,Belgium and Luxembourg,1996,8000
Standard,Belgium and Luxembourg,1997,10000
Standard,Belgium and Luxembourg,1998,11250
Standard,Belgium and Luxembourg,1999,12550
Standard,Belgium and Luxembourg,2000,14850
Standard,Belgium and Luxembourg,2001,18000
Standard,Belgium and Luxembourg,2002,21100
Standard,Belgium and Luxembourg,2003,21500
Standard,Belgium and Luxembourg,2004,21500
Standard,Belgium and Luxembourg,2005,21500
Standard,Belgium and Luxembourg,2006,23750
Standard,Belgium and Luxembourg,2007,21250
Standard,Belgium and Luxembourg,2008,22250
Standard,Belgium and Luxembourg,2009,22750
Standard,Belgium and Luxembourg,2010,21450
Standard,Belgium and Luxembourg,2011,22500
Standard,Belgium and Luxembourg,2012,23500
Standard,Belgium and Luxembourg,2013,24750
Standard,Belgium and Luxembourg,2014,23250
Standard,Belgium and Luxembourg,2015,23300
Standard,Belgium and Luxembourg,2016,20500
Standard,Argentina,1990,0
Standard,Argentina,1991,0
Standard,Argentina,1992,0
Standard,Argentina,1993,0
Standard,Argentina,1994,0
Standard,Argentina,1995,0
Standard,Argentina,1996,1750
Standard,Argentina,1997,1750
Standard,Argentina,1998,3000
Standard,Argentina,1999,3500
Standard,Argentina,2000,3500
Standard,Argentina,2001,1750
Standard,Argentina,2002,750
Standard,Argentina,2003,750
Standard,Argentina,2004,1250
Standard,Argentina,2005,1250
Standard,Argentina,2006,1500
Standard,Argentina,2007,2250
Standard,Argentina,2008,3000
Standard,Argentina,2009,3500
Standard,Argentina,2010,5750
Standard,Argentina,2011,8500
Standard,Argentina,2012,10050
Standard,Argentina,2013,13150
Standard,Argentina,2014,10600
Standard,Argentina,2015,17850
Standard,Argentina,2016,19050
Standard,DF Rest of CIS,1990,0
Standard,DF Rest of CIS,1991,0
Standard,DF Rest of CIS,1992,0
Standard,DF Rest of CIS,1993,0
Standard,DF Rest of CIS,1994,0
Standard,DF Rest of CIS,1995,0
Standard,DF Rest of CIS,1996,0
Standard,DF Rest of CIS,1997,0
Standard,DF Rest of CIS,1998,0
Standard,DF Rest of CIS,1999,0
Standard,DF Rest of CIS,2000,0
Standard,DF Rest of CIS,2001,0
Standard,DF Rest of CIS,2002,1000
Standard,DF Rest of CIS,2003,900
Standard,DF Rest of CIS,2004,900
Standard,DF Rest of CIS,2005,925
Standard,DF Rest of CIS,2006,1100
Standard,DF Rest of CIS,2007,1350
Standard,DF Rest of CIS,2008,1675
Standard,DF Rest of CIS,2009,2025
Standard,DF Rest of CIS,2010,4800
Standard,DF Rest of CIS,2011,8725
Standard,DF Rest of CIS,2012,10375
Standard,DF Rest of CIS,2013,18450
Standard,DF Rest of CIS,2014,19850
Standard,DF Rest of CIS,2015,18200
Standard,DF Rest of CIS,2016,18875
Standard,Romania,1990,0
Standard,Romania,1991,0
Standard,Romania,1992,0
Standard,Romania,1993,0
Standard,Romania,1994,0
Standard,Romania,1995,0
Standard,Romania,1996,0
Standard,Romania,1997,0
Standard,Romania,1998,250
Standard,Romania,1999,1000
Standard,Romania,2000,1000
Standard,Romania,2001,1000
Standard,Romania,2002,1750
Standard,Romania,2003,1750
Standard,Romania,2004,2150
Standard,Romania,2005,3650
Standard,Romania,2006,3900
Standard,Romania,2007,3000
Standard,Romania,2008,4900
Standard,Romania,2009,3900
Standard,Romania,2010,5000
Standard,Romania,2011,5950
Standard,Romania,2012,7960
Standard,Romania,2013,9500
Standard,Romania,2014,11800
Standard,Romania,2015,13000
Standard,Romania,2016,16950
Standard,DF Australia,1990,0
Standard,DF Australia,1991,0
Standard,DF Australia,1992,0
Standard,DF Australia,1993,0
Standard,DF Australia,1994,0
Standard,DF Australia,1995,0
Standard,DF Australia,1996,0
Standard,DF Australia,1997,0
Standard,DF Australia,1998,0
Standard,DF Australia,1999,0
Standard,DF Australia,2000,2200
Standard,DF Australia,2001,2400
Standard,DF Australia,2002,4500
Standard,DF Australia,2003,5950
Standard,DF Australia,2004,6500
Standard,DF Australia,2005,5450
Standard,DF Australia,2006,5750
Standard,DF Australia,2007,7925
Standard,DF Australia,2008,9200
Standard,DF Australia,2009,9300
Standard,DF Australia,2010,8500
Standard,DF Australia,2011,10050
Standard,DF Australia,2012,9800
Standard,DF Australia,2013,11250
Standard,DF Australia,2014,12000
Standard,DF Australia,2015,14850
Standard,DF Australia,2016,15700
Standard,Hungary,1990,300
Standard,Hungary,1991,300
Standard,Hungary,1992,250
Standard,Hungary,1993,500
Standard,Hungary,1994,1000
Standard,Hungary,1995,1250
Standard,Hungary,1996,2500
Standard,Hungary,1997,3750
Standard,Hungary,1998,5000
Standard,Hungary,1999,5500
Standard,Hungary,2000,6000
Standard,Hungary,2001,5000
Standard,Hungary,2002,5750
Standard,Hungary,2003,6000
Standard,Hungary,2004,6900
Standard,Hungary,2005,7250
Standard,Hungary,2006,8700
Standard,Hungary,2007,10200
Standard,Hungary,2008,10350
Standard,Hungary,2009,8300
Standard,Hungary,2010,9000
Standard,Hungary,2011,9750
Standard,Hungary,2012,10750
Standard,Hungary,2013,10700
Standard,Hungary,2014,13000
Standard,Hungary,2015,14250
Standard,Hungary,2016,15390
Standard,DF Spain,1990,0
Standard,DF Spain,1991,0
Standard,DF Spain,1992,0
Standard,DF Spain,1993,0
Standard,DF Spain,1994,3250
Standard,DF Spain,1995,4900
Standard,DF Spain,1996,6150
Standard,DF Spain,1997,6000
Standard,DF Spain,1998,6750
Standard,DF Spain,1999,5200
Standard,DF Spain,2000,5850
Standard,DF Spain,2001,7000
Standard,DF Spain,2002,4700
Standard,DF Spain,2003,8250
Standard,DF Spain,2004,10250
Standard,DF Spain,2005,11525
Standard,DF Spain,2006,12500
Standard,DF Spain,2007,13475
Standard,DF Spain,2008,15275
Standard,DF Spain,2009,13500
Standard,DF Spain,2010,13900
Standard,DF Spain,2011,16925
Standard,DF Spain,2012,12300
Standard,DF Spain,2013,12100
Standard,DF Spain,2014,12125
Standard,DF Spain,2015,13085
Standard,DF Spain,2016,14985
Standard,Switzerland,1990,3500
Standard,Switzerland,1991,3500
Standard,Switzerland,1992,3500
Standard,Switzerland,1993,3000
Standard,Switzerland,1994,4500
Standard,Switzerland,1995,4250
Standard,Switzerland,1996,4500
Standard,Switzerland,1997,3500
Standard,Switzerland,1998,4000
Standard,Switzerland,1999,5450
Standard,Switzerland,2000,5700
Standard,Switzerland,2001,6700
Standard,Switzerland,2002,6800
Standard,Switzerland,2003,7500
Standard,Switzerland,2004,7500
Standard,Switzerland,2005,7250
Standard,Switzerland,2006,7250
Standard,Switzerland,2007,7500
Standard,Switzerland,2008,9250
Standard,Switzerland,2009,9050
Standard,Switzerland,2010,9200
Standard,Switzerland,2011,9950
Standard,Switzerland,2012,9850
Standard,Switzerland,2013,9600
Standard,Switzerland,2014,11200
Standard,Switzerland,2015,11250
Standard,Switzerland,2016,14600
Standard,DF Rest of Central & Eastern Europe,1990,0
Standard,DF Rest of Central & Eastern Europe,1991,0
Standard,DF Rest of Central & Eastern Europe,1992,0
Standard,DF Rest of Central & Eastern Europe,1993,0
Standard,DF Rest of Central & Eastern Europe,1994,0
Standard,DF Rest of Central & Eastern Europe,1995,0
Standard,DF Rest of Central & Eastern Europe,1996,0
Standard,DF Rest of Central & Eastern Europe,1997,0
Standard,DF Rest of Central & Eastern Europe,1998,0
Standard,DF Rest of Central & Eastern Europe,1999,0
Standard,DF Rest of Central & Eastern Europe,2000,0
Standard,DF Rest of Central & Eastern Europe,2001,2725
Standard,DF Rest of Central & Eastern Europe,2002,1025
Standard,DF Rest of Central & Eastern Europe,2003,935
Standard,DF Rest of Central & Eastern Europe,2004,1000
Standard,DF Rest of Central & Eastern Europe,2005,1250
Standard,DF Rest of Central & Eastern Europe,2006,1600
Standard,DF Rest of Central & Eastern Europe,2007,2150
Standard,DF Rest of Central & Eastern Europe,2008,2900
Standard,DF Rest of Central & Eastern Europe,2009,3100
Standard,DF Rest of Central & Eastern Europe,2010,5250
Standard,DF Rest of Central & Eastern Europe,2011,8900
Standard,DF Rest of Central & Eastern Europe,2012,9650
Standard,DF Rest of Central & Eastern Europe,2013,10490
Standard,DF Rest of Central & Eastern Europe,2014,13575
Standard,DF Rest of Central & Eastern Europe,2015,14000
Standard,DF Rest of Central & Eastern Europe,2016,14325
Standard,Brazil,1990,0
Standard,Brazil,1991,0
Standard,Brazil,1992,250
Standard,Brazil,1993,250
Standard,Brazil,1994,250
Standard,Brazil,1995,250
Standard,Brazil,1996,250
Standard,Brazil,1997,500
Standard,Brazil,1998,500
Standard,Brazil,1999,500
Standard,Brazil,2000,500
Standard,Brazil,2001,500
Standard,Brazil,2002,500
Standard,Brazil,2003,3250
Standard,Brazil,2004,6000
Standard,Brazil,2005,8250
Standard,Brazil,2006,9250
Standard,Brazil,2007,9250
Standard,Brazil,2008,5750
Standard,Brazil,2009,4250
Standard,Brazil,2010,3250
Standard,Brazil,2011,5650
Standard,Brazil,2012,6650
Standard,Brazil,2013,7400
Standard,Brazil,2014,9600
Standard,Brazil,2015,11000
Standard,Brazil,2016,14000
Standard,Canary Islands,1990,1500
Standard,Canary Islands,1991,1750
Standard,Canary Islands,1992,1750
Standard,Canary Islands,1993,1500
Standard,Canary Islands,1994,1500
Standard,Canary Islands,1995,1500
Standard,Canary Islands,1996,1500
Standard,Canary Islands,1997,2000
Standard,Canary Islands,1998,2000
Standard,Canary Islands,1999,3000
Standard,Canary Islands,2000,4750
Standard,Canary Islands,2001,8250
Standard,Canary Islands,2002,9250
Standard,Canary Islands,2003,14250
Standard,Canary Islands,2004,13250
Standard,Canary Islands,2005,12500
Standard,Canary Islands,2006,12500
Standard,Canary Islands,2007,9500
Standard,Canary Islands,2008,9650
Standard,Canary Islands,2009,7000
Standard,Canary Islands,2010,7400
Standard,Canary Islands,2011,5900
Standard,Canary Islands,2012,7150
Standard,Canary Islands,2013,7650
Standard,Canary Islands,2014,9650
Standard,Canary Islands,2015,10350
Standard,Canary Islands,2016,11500
Standard,Thailand,1990,750
Standard,Thailand,1991,500
Standard,Thailand,1992,500
Standard,Thailand,1993,750
Standard,Thailand,1994,600
Standard,Thailand,1995,700
Standard,Thailand,1996,750
Standard,Thailand,1997,1500
Standard,Thailand,1998,2000
Standard,Thailand,1999,3750
Standard,Thailand,2000,3500
Standard,Thailand,2001,3500
Standard,Thailand,2002,4500
Standard,Thailand,2003,4750
Standard,Thailand,2004,7750
Standard,Thailand,2005,4500
Standard,Thailand,2006,4000
Standard,Thailand,2007,3650
Standard,Thailand,2008,4000
Standard,Thailand,2009,3000
Standard,Thailand,2010,3750
Standard,Thailand,2011,4250
Standard,Thailand,2012,5350
Standard,Thailand,2013,4000
Standard,Thailand,2014,5250
Standard,Thailand,2015,6500
Standard,Thailand,2016,11500
Standard,DF Turkey,1990,0
Standard,DF Turkey,1991,0
Standard,DF Turkey,1992,0
Standard,DF Turkey,1993,0
Standard,DF Turkey,1994,0
Standard,DF Turkey,1995,0
Standard,DF Turkey,1996,0
Standard,DF Turkey,1997,0
Standard,DF Turkey,1998,0
Standard,DF Turkey,1999,0
Standard,DF Turkey,2000,1250
Standard,DF Turkey,2001,1100
Standard,DF Turkey,2002,1050
Standard,DF Turkey,2003,2050
Standard,DF Turkey,2004,2000
Standard,DF Turkey,2005,2175
Standard,DF Turkey,2006,2125
Standard,DF Turkey,2007,2175
Standard,DF Turkey,2008,6875
Standard,DF Turkey,2009,7125
Standard,DF Turkey,2010,8300
Standard,DF Turkey,2011,13200
Standard,DF Turkey,2012,14100
Standard,DF Turkey,2013,11800
Standard,DF Turkey,2014,13565
Standard,DF Turkey,2015,10400
Standard,DF Turkey,2016,11475
Standard,DF Gulf - (All Countries),1990,0
Standard,DF Gulf - (All Countries),1991,0
Standard,DF Gulf - (All Countries),1992,0
Standard,DF Gulf - (All Countries),1993,0
Standard,DF Gulf - (All Countries),1994,0
Standard,DF Gulf - (All Countries),1995,0
Standard,DF Gulf - (All Countries),1996,0
Standard,DF Gulf - (All Countries),1997,0
Standard,DF Gulf - (All Countries),1998,0
Standard,DF Gulf - (All Countries),1999,0
Standard,DF Gulf - (All Countries),2000,5250
Standard,DF Gulf - (All Countries),2001,5300
Standard,DF Gulf - (All Countries),2002,3250
Standard,DF Gulf - (All Countries),2003,3000
Standard,DF Gulf - (All Countries),2004,3500
Standard,DF Gulf - (All Countries),2005,4200
Standard,DF Gulf - (All Countries),2006,4000
Standard,DF Gulf - (All Countries),2007,4250
Standard,DF Gulf - (All Countries),2008,4925
Standard,DF Gulf - (All Countries),2009,3550
Standard,DF Gulf - (All Countries),2010,5525
Standard,DF Gulf - (All Countries),2011,6550
Standard,DF Gulf - (All Countries),2012,7725
Standard,DF Gulf - (All Countries),2013,7800
Standard,DF Gulf - (All Countries),2014,8825
Standard,DF Gulf - (All Countries),2015,9150
Standard,DF Gulf - (All Countries),2016,10700
Standard,DF Netherlands,1990,0
Standard,DF Netherlands,1991,0
Standard,DF Netherlands,1992,0
Standard,DF Netherlands,1993,0
Standard,DF Netherlands,1994,5500
Standard,DF Netherlands,1995,6000
Standard,DF Netherlands,1996,6000
Standard,DF Netherlands,1997,6000
Standard,DF Netherlands,1998,6250
Standard,DF Netherlands,1999,4900
Standard,DF Netherlands,2000,3500
Standard,DF Netherlands,2001,3500
Standard,DF Netherlands,2002,3750
Standard,DF Netherlands,2003,3675
Standard,DF Netherlands,2004,3575
Standard,DF Netherlands,2005,3600
Standard,DF Netherlands,2006,4275
Standard,DF Netherlands,2007,4800
Standard,DF Netherlands,2008,6750
Standard,DF Netherlands,2009,7250
Standard,DF Netherlands,2010,9750
Standard,DF Netherlands,2011,8575
Standard,DF Netherlands,2012,9600
Standard,DF Netherlands,2013,9590
Standard,DF Netherlands,2014,9550
Standard,DF Netherlands,2015,9660
Standard,DF Netherlands,2016,9350
Standard,Others,1990,42350
Standard,Others,1991,45350
Standard,Others,1992,46550
Standard,Others,1993,49990
Standard,Others,1994,56450
Standard,Others,1995,58870
Standard,Others,1996,61525
Standard,Others,1997,62400
Standard,Others,1998,69100
Standard,Others,1999,61645
Standard,Others,2000,54145
Standard,Others,2001,57280
Standard,Others,2002,53730
Standard,Others,2003,62680
Standard,Others,2004,64490
Standard,Others,2005,71620
Standard,Others,2006,81240
Standard,Others,2007,87570
Standard,Others,2008,97505
Standard,Others,2009,87725
Standard,Others,2010,110025
Standard,Others,2011,145135
Standard,Others,2012,140545
Standard,Others,2013,145660
Standard,Others,2014,138525
Standard,Others,2015,133445
Standard,Others,2016,158185
Premium,United States,1990,7500
Premium,United States,1991,8250
Premium,United States,1992,8000
Premium,United States,1993,8000
Premium,United States,1994,12000
Premium,United States,1995,14500
Premium,United States,1996,19000
Premium,United States,1997,18500
Premium,United States,1998,16000
Premium,United States,1999,18000
Premium,United States,2000,17250
Premium,United States,2001,17950
Premium,United States,2002,19850
Premium,United States,2003,20700
Premium,United States,2004,20100
Premium,United States,2005,20300
Premium,United States,2006,34500
Premium,United States,2007,41250
Premium,United States,2008,38500
Premium,United States,2009,31500
Premium,United States,2010,34150
Premium,United States,2011,37500
Premium,United States,2012,49250
Premium,United States,2013,52750
Premium,United States,2014,82250
Premium,United States,2015,167250
Premium,United States,2016,268250
Premium,Ireland,1990,32000
Premium,Ireland,1991,33000
Premium,Ireland,1992,30000
Premium,Ireland,1993,32000
Premium,Ireland,1994,31000
Premium,Ireland,1995,29000
Premium,Ireland,1996,30150
Premium,Ireland,1997,31650
Premium,Ireland,1998,32250
Premium,Ireland,1999,35050
Premium,Ireland,2000,34750
Premium,Ireland,2001,37450
Premium,Ireland,2002,36550
Premium,Ireland,2003,30750
Premium,Ireland,2004,29850
Premium,Ireland,2005,28250
Premium,Ireland,2006,25650
Premium,Ireland,2007,27150
Premium,Ireland,2008,24200
Premium,Ireland,2009,22600
Premium,Ireland,2010,25950
Premium,Ireland,2011,28050
Premium,Ireland,2012,24550
Premium,Ireland,2013,24700
Premium,Ireland,2014,31380
Premium,Ireland,2015,46400
Premium,Ireland,2016,57550
Premium,Germany,1990,0
Premium,Germany,1991,0
Premium,Germany,1992,0
Premium,Germany,1993,0
Premium,Germany,1994,250
Premium,Germany,1995,750
Premium,Germany,1996,2750
Premium,Germany,1997,3350
Premium,Germany,1998,2900
Premium,Germany,1999,3650
Premium,Germany,2000,4550
Premium,Germany,2001,5700
Premium,Germany,2002,5700
Premium,Germany,2003,6500
Premium,Germany,2004,7600
Premium,Germany,2005,7750
Premium,Germany,2006,8350
Premium,Germany,2007,10650
Premium,Germany,2008,10150
Premium,Germany,2009,10600
Premium,Germany,2010,12650
Premium,Germany,2011,18600
Premium,Germany,2012,19000
Premium,Germany,2013,28800
Premium,Germany,2014,33250
Premium,Germany,2015,40350
Premium,Germany,2016,43500
Premium,France,1990,0
Premium,France,1991,0
Premium,France,1992,0
Premium,France,1993,2000
Premium,France,1994,3000
Premium,France,1995,5000
Premium,France,1996,9000
Premium,France,1997,12000
Premium,France,1998,16000
Premium,France,1999,19000
Premium,France,2000,24000
Premium,France,2001,27000
Premium,France,2002,28000
Premium,France,2003,20000
Premium,France,2004,19000
Premium,France,2005,17750
Premium,France,2006,15750
Premium,France,2007,18750
Premium,France,2008,22000
Premium,France,2009,18500
Premium,France,2010,17250
Premium,France,2011,15500
Premium,France,2012,15750
Premium,France,2013,16000
Premium,France,2014,19500
Premium,France,2015,28250
Premium,France,2016,33250
Premium,South Africa,1990,0
Premium,South Africa,1991,0
Premium,South Africa,1992,0
Premium,South Africa,1993,0
Premium,South Africa,1994,0
Premium,South Africa,1995,0
Premium,South Africa,1996,0
Premium,South Africa,1997,250
Premium,South Africa,1998,250
Premium,South Africa,1999,500
Premium,South Africa,2000,750
Premium,South Africa,2001,920
Premium,South Africa,2002,900
Premium,South Africa,2003,900
Premium,South Africa,2004,1680
Premium,South Africa,2005,1920
Premium,South Africa,2006,3500
Premium,South Africa,2007,3000
Premium,South Africa,2008,4000
Premium,South Africa,2009,4000
Premium,South Africa,2010,7500
Premium,South Africa,2011,9500
Premium,South Africa,2012,8300
Premium,South Africa,2013,10000
Premium,South Africa,2014,14650
Premium,South Africa,2015,16950
Premium,South Africa,2016,25450
Premium,DF British Isles (Inc. Ireland),1990,31500
Premium,DF British Isles (Inc. Ireland),1991,36000
Premium,DF British Isles (Inc. Ireland),1992,37450
Premium,DF British Isles (Inc. Ireland),1993,40250
Premium,DF British Isles (Inc. Ireland),1994,46550
Premium,DF British Isles (Inc. Ireland),1995,50950
Premium,DF British Isles (Inc. Ireland),1996,57300
Premium,DF British Isles (Inc. Ireland),1997,58700
Premium,DF British Isles (Inc. Ireland),1998,56000
Premium,DF British Isles (Inc. Ireland),1999,31850
Premium,DF British Isles (Inc. Ireland),2000,26675
Premium,DF British Isles (Inc. Ireland),2001,30125
Premium,DF British Isles (Inc. Ireland),2002,22225
Premium,DF British Isles (Inc. Ireland),2003,19225
Premium,DF British Isles (Inc. Ireland),2004,18550
Premium,DF British Isles (Inc. Ireland),2005,18250
Premium,DF British Isles (Inc. Ireland),2006,15500
Premium,DF British Isles (Inc. Ireland),2007,14825
Premium,DF British Isles (Inc. Ireland),2008,14900
Premium,DF British Isles (Inc. Ireland),2009,16050
Premium,DF British Isles (Inc. Ireland),2010,13950
Premium,DF British Isles (Inc. Ireland),2011,14000
Premium,DF British Isles (Inc. Ireland),2012,14225
Premium,DF British Isles (Inc. Ireland),2013,12000
Premium,DF British Isles (Inc. Ireland),2014,14930
Premium,DF British Isles (Inc. Ireland),2015,18510
Premium,DF British Isles (Inc. Ireland),2016,23695
Premium,Canada,1990,1150
Premium,Canada,1991,1250
Premium,Canada,1992,1000
Premium,Canada,1993,1150
Premium,Canada,1994,1900
Premium,Canada,1995,2250
Premium,Canada,1996,2500
Premium,Canada,1997,3100
Premium,Canada,1998,3150
Premium,Canada,1999,4150
Premium,Canada,2000,4750
Premium,Canada,2001,5000
Premium,Canada,2002,5250
Premium,Canada,2003,6100
Premium,Canada,2004,6750
Premium,Canada,2005,6750
Premium,Canada,2006,7250
Premium,Canada,2007,7650
Premium,Canada,2008,8350
Premium,Canada,2009,8750
Premium,Canada,2010,9350
Premium,Canada,2011,10450
Premium,Canada,2012,10600
Premium,Canada,2013,10750
Premium,Canada,2014,11000
Premium,Canada,2015,14400
Premium,Canada,2016,18200
Premium,United Kingdom,1990,35000
Premium,United Kingdom,1991,38000
Premium,United Kingdom,1992,34500
Premium,United Kingdom,1993,34500
Premium,United Kingdom,1994,33000
Premium,United Kingdom,1995,29000
Premium,United Kingdom,1996,29000
Premium,United Kingdom,1997,27000
Premium,United Kingdom,1998,25000
Premium,United Kingdom,1999,27500
Premium,United Kingdom,2000,28000
Premium,United Kingdom,2001,29750
Premium,United Kingdom,2002,31500
Premium,United Kingdom,2003,32000
Premium,United Kingdom,2004,31500
Premium,United Kingdom,2005,32000
Premium,United Kingdom,2006,34000
Premium,United Kingdom,2007,29500
Premium,United Kingdom,2008,28500
Premium,United Kingdom,2009,24500
Premium,United Kingdom,2010,26250
Premium,United Kingdom,2011,22000
Premium,United Kingdom,2012,12150
Premium,United Kingdom,2013,14250
Premium,United Kingdom,2014,10450
Premium,United Kingdom,2015,9950
Premium,United Kingdom,2016,14680
Premium,Russia,1990,0
Premium,Russia,1991,0
Premium,Russia,1992,0
Premium,Russia,1993,0
Premium,Russia,1994,0
Premium,Russia,1995,0
Premium,Russia,1996,0
Premium,Russia,1997,0
Premium,Russia,1998,0
Premium,Russia,1999,0
Premium,Russia,2000,0
Premium,Russia,2001,0
Premium,Russia,2002,0
Premium,Russia,2003,0
Premium,Russia,2004,250
Premium,Russia,2005,2700
Premium,Russia,2006,4750
Premium,Russia,2007,5750
Premium,Russia,2008,10750
Premium,Russia,2009,8100
Premium,Russia,2010,11250
Premium,Russia,2011,14500
Premium,Russia,2012,20000
Premium,Russia,2013,20000
Premium,Russia,2014,18700
Premium,Russia,2015,13250
Premium,Russia,2016,13500
Premium,DF Germany,1990,3500
Premium,DF Germany,1991,3500
Premium,DF Germany,1992,3500
Premium,DF Germany,1993,2500
Premium,DF Germany,1994,3450
Premium,DF Germany,1995,3700
Premium,DF Germany,1996,5500
Premium,DF Germany,1997,6000
Premium,DF Germany,1998,7750
Premium,DF Germany,1999,3500
Premium,DF Germany,2000,2000
Premium,DF Germany,2001,3000
Premium,DF Germany,2002,5250
Premium,DF Germany,2003,5145
Premium,DF Germany,2004,4990
Premium,DF Germany,2005,4735
Premium,DF Germany,2006,5240
Premium,DF Germany,2007,5340
Premium,DF Germany,2008,5440
Premium,DF Germany,2009,4300
Premium,DF Germany,2010,4500
Premium,DF Germany,2011,4080
Premium,DF Germany,2012,3305
Premium,DF Germany,2013,5045
Premium,DF Germany,2014,7575
Premium,DF Germany,2015,8050
Premium,DF Germany,2016,9535
Premium,DF Nordic Countries - (All Countries),1990,500
Premium,DF Nordic Countries - (All Countries),1991,1500
Premium,DF Nordic Countries - (All Countries),1992,1500
Premium,DF Nordic Countries - (All Countries),1993,1500
Premium,DF Nordic Countries - (All Countries),1994,1700
Premium,DF Nordic Countries - (All Countries),1995,2700
Premium,DF Nordic Countries - (All Countries),1996,2975
Premium,DF Nordic Countries - (All Countries),1997,3475
Premium,DF Nordic Countries - (All Countries),1998,6725
Premium,DF Nordic Countries - (All Countries),1999,6230
Premium,DF Nordic Countries - (All Countries),2000,5385
Premium,DF Nordic Countries - (All Countries),2001,4250
Premium,DF Nordic Countries - (All Countries),2002,6500
Premium,DF Nordic Countries - (All Countries),2003,6325
Premium,DF Nordic Countries - (All Countries),2004,5400
Premium,DF Nordic Countries - (All Countries),2005,4150
Premium,DF Nordic Countries - (All Countries),2006,4925
Premium,DF Nordic Countries - (All Countries),2007,3950
Premium,DF Nordic Countries - (All Countries),2008,6675
Premium,DF Nordic Countries - (All Countries),2009,5650
Premium,DF Nordic Countries - (All Countries),2010,5550
Premium,DF Nordic Countries - (All Countries),2011,6820
Premium,DF Nordic Countries - (All Countries),2012,5525
Premium,DF Nordic Countries - (All Countries),2013,7415
Premium,DF Nordic Countries - (All Countries),2014,9420
Premium,DF Nordic Countries - (All Countries),2015,9135
Premium,DF Nordic Countries - (All Countries),2016,9435
Premium,Bulgaria,1990,0
Premium,Bulgaria,1991,0
Premium,Bulgaria,1992,0
Premium,Bulgaria,1993,0
Premium,Bulgaria,1994,0
Premium,Bulgaria,1995,0
Premium,Bulgaria,1996,0
Premium,Bulgaria,1997,0
Premium,Bulgaria,1998,0
Premium,Bulgaria,1999,0
Premium,Bulgaria,2000,0
Premium,Bulgaria,2001,40
Premium,Bulgaria,2002,70
Premium,Bulgaria,2003,870
Premium,Bulgaria,2004,970
Premium,Bulgaria,2005,1020
Premium,Bulgaria,2006,2050
Premium,Bulgaria,2007,3150
Premium,Bulgaria,2008,6050
Premium,Bulgaria,2009,4350
Premium,Bulgaria,2010,5600
Premium,Bulgaria,2011,5300
Premium,Bulgaria,2012,5550
Premium,Bulgaria,2013,6750
Premium,Bulgaria,2014,7650
Premium,Bulgaria,2015,8140
Premium,Bulgaria,2016,9000
Premium,Netherlands,1990,1000
Premium,Netherlands,1991,1000
Premium,Netherlands,1992,900
Premium,Netherlands,1993,900
Premium,Netherlands,1994,900
Premium,Netherlands,1995,600
Premium,Netherlands,1996,1000
Premium,Netherlands,1997,1400
Premium,Netherlands,1998,1850
Premium,Netherlands,1999,1850
Premium,Netherlands,2000,2250
Premium,Netherlands,2001,2900
Premium,Netherlands,2002,3500
Premium,Netherlands,2003,3250
Premium,Netherlands,2004,3500
Premium,Netherlands,2005,3000
Premium,Netherlands,2006,2500
Premium,Netherlands,2007,2750
Premium,Netherlands,2008,2630
Premium,Netherlands,2009,3430
Premium,Netherlands,2010,4700
Premium,Netherlands,2011,6700
Premium,Netherlands,2012,8550
