,Country,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,Unnamed: 55,Coeff. of variation,Unnamed: 57,Norway
0,1835.0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,"41,094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
1,1836.0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
2,1837.0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
3,1838.0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,"38,726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
4,1839.0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,"45,047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
5,1840.0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
6,1841.0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,"35,043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
7,1842.0,413,0,0,0,"22,510",0,0,0,0,0,0,0,0,0,"32,805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
8,1843.0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,945",0,0,0,0,0,0,0,0,0,0,"2,251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2.0,0.0,0
9,1844.0,340,0,0,0,"21,544",0,0,0,0,0,0,0,0,0,"39,026",0,0,0,0,0,0,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
10,1845.0,361,0,0,0,0,0,0,0,"12,958",0,0,0,0,0,"38,504",0,0,0,0,0,0,0,0,0,0,"1,624",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
11,1846.0,430,0,0,0,0,0,0,0,"15,109",0,0,0,0,0,"35,056",0,0,0,0,0,0,0,0,0,0,"2,210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
12,1847.0,386,0,0,0,0,0,0,0,"12,519",0,0,0,0,0,"36,069",0,0,0,0,0,0,0,0,0,0,"2,009",0,0,0,0,0,0,0,0,0,"31,961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
13,1848.0,231,0,0,0,0,0,0,0,"9,061",0,0,0,0,0,"34,489",0,0,0,0,0,0,0,0,0,0,"3,389",0,0,0,0,0,0,0,0,0,"39,439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
14,1849.0,215,0,0,92,0,0,0,0,"11,040",0,0,0,0,0,"36,232",0,0,0,0,0,0,0,0,0,0,"3,103",0,0,0,0,0,0,0,0,0,"42,703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
15,1850.0,320,0,0,75,0,0,0,0,"11,610",0,0,0,0,0,"42,298",0,0,0,0,0,0,0,0,0,0,"2,468",0,0,0,0,0,0,0,0,0,"43,921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
16,1851.0,332,0,0,70,0,0,0,0,"10,733",0,0,0,0,0,"40,953",0,0,0,0,0,0,0,0,0,0,"2,722",0,0,0,0,0,0,0,0,0,"41,670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
17,1852.0,348,0,0,40,0,0,0,0,"11,854",0,0,0,0,0,"30,883",0,0,0,0,0,0,0,0,0,0,"3,759",0,0,0,0,0,0,0,0,0,"42,751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
18,1853.0,448,0,0,53,0,0,0,0,"12,546",0,0,0,0,0,"50,141",0,0,0,0,0,0,0,0,0,0,"8,572",0,0,0,0,0,0,0,0,0,"30,918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
19,1854.0,"15,498",0,0,32,0,0,0,0,"12,244",0,0,0,0,0,"49,442",0,0,0,0,0,0,0,0,0,0,"5,539",0,0,0,0,0,0,0,0,0,"17,863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
20,1855.0,"41,710",0,0,82,0,0,0,0,"13,634",0,0,0,0,0,"40,673",0,0,0,0,0,0,0,0,0,0,"6,350",0,0,0,0,0,0,0,0,0,"11,882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0
